name,species,longitude,latitude,year,base,oppc,n
Haddadus binotatus,haddadus_binotatus,-46.3333,-23.8922,1962,vertnet,5334,47
Eleutherodactylus binotatus,haddadus_binotatus,-45.85,-23.53333,1965,vertnet,5244,47
Haddadus binotatus,haddadus_binotatus,-41.112778,-20.848889,1970,vertnet,4798,47
Haddadus binotatus,haddadus_binotatus,-45.069722,-23.430278,1970,vertnet,5245,47
Haddadus binotatus,haddadus_binotatus,-40.273333,-19.820278,1972,vertnet,4618,47
Haddadus binotatus,haddadus_binotatus,-39.858889,-18.716111,1972,vertnet,4437,47
Haddadus binotatus,haddadus_binotatus,-40.150556,-18.030278,1973,vertnet,4254,47
Haddadus binotatus,haddadus_binotatus,-41.184722,-20.603611,1973,vertnet,4707,47
Haddadus binotatus,haddadus_binotatus,-40.6,-19.9167,1974,vertnet,4617,47
Haddadus binotatus,haddadus_binotatus,-40.071944,-19.391111,1975,vertnet,4527,47
Haddadus binotatus,haddadus_binotatus,-42.98,-22.43,1977,vertnet,5068,47
Haddadus binotatus,haddadus_binotatus,-48.9333,-26.2,1978,vertnet,5784,47
Haddadus binotatus,haddadus_binotatus,-48.9742,-25.4,1978,vertnet,5602,47
Haddadus binotatus,haddadus_binotatus,-49.2164,-26.7333,1982,vertnet,5874,47
Haddadus binotatus,haddadus_binotatus,-47.13,-23.3,1984,vertnet,5241,47
Haddadus binotatus,haddadus_binotatus,-39.3167,-15.0946,1988,vertnet,3710,47
Haddadus binotatus,haddadus_binotatus,-47.549722,-24.700278,1988,vertnet,5513,47
Haddadus binotatus,haddadus_binotatus,-40.42,-20.263889,1989,vertnet,4709,47
Haddadus binotatus,haddadus_binotatus,-47.919722,-24.38,1990,vertnet,5422,47
Haddadus binotatus,haddadus_binotatus,-41.868611,-20.931667,1991,vertnet,4797,47
Haddadus binotatus,haddadus_binotatus,-48.34,-24,1994,vertnet,5330,47
Haddadus binotatus,haddadus_binotatus,-40.645556,-20.805833,2001,vertnet,4799,47
Haddadus binotatus,haddadus_binotatus,-40.659167,-20.363333,2005,vertnet,4708,47
Haddadus binotatus,haddadus_binotatus,-45.325205,-21.936627,2006,inat,4972,47
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-45.36,-23.86,2006,gbif,5336,47
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-47.22,-24.55,2006,gbif,5423,47
Haddadus binotatus,haddadus_binotatus,-39.734167,-14.138056,2008,vertnet,3527,47
Haddadus binotatus,haddadus_binotatus,-48.35,-23.4,2008,vertnet,5239,47
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-48.568,-27.339,2009,gbif,5966,47
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-43.875,-20.478,2009,gbif,4702,47
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-39.844167,-18.355278,2009,gbif,4346,47
Haddadus binotatus,haddadus_binotatus,-46.0025,-23.249444,2011,vertnet,5243,47
Haddadus binotatus,haddadus_binotatus,-44.855,-22.545556,2011,vertnet,5064,47
Haddadus binotatus,haddadus_binotatus,-48.8978601,-27.096556,2013,inat,5875,47
Haddadus binotatus,haddadus_binotatus,-42.8586297,-20.8023191,2013,inat,4795,47
Haddadus binotatus,haddadus_binotatus,-43.4111022949,-22.5632932447,2014,inat,5067,47
Haddadus binotatus,haddadus_binotatus,-43.9026905793,-22.6190735857,2014,inat,5066,47
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-47.478669,-20.6675,2014,gbif,4786,47
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-42.235,-20.60225,2014,gbif,4705,47
Haddadus binotatus,haddadus_binotatus,-45.933333,-23.066667,2015,vertnet,5153,47
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-42.689167,-21.234722,2015,gbif,4886,47
Haddadus binotatus,haddadus_binotatus,-41.851972,-20.421417,2016,vertnet,4706,47
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-40.871003,-18.611125,2017,gbif,4344,47
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-44.148056,-23.141111,2017,gbif,5156,47
Haddadus binotatus,haddadus_binotatus,-49.47397995,-28.6781196594,2018,inat,6238,47
Haddadus binotatus,haddadus_binotatus,-43.0116616481,-22.9531317058,2018,inat,5158,47
Haddadus binotatus,haddadus_binotatus,-44.7703216667,-23.209505,2019,inat,5246,47
