name,species,longitude,latitude,year,base,oppc,n
Haddadus binotatus,haddadus_binotatus,-40.273333,-19.820278,1972,vertnet,3939,48
Haddadus binotatus,haddadus_binotatus,-39.732222,-18.593333,1972,vertnet,3782,48
Haddadus binotatus,haddadus_binotatus,-40.150556,-18.030278,1973,vertnet,3702,48
Haddadus binotatus,haddadus_binotatus,-41.184722,-20.603611,1973,vertnet,4095,48
Haddadus binotatus,haddadus_binotatus,-45.069722,-23.430278,1973,vertnet,4561,48
Haddadus binotatus,haddadus_binotatus,-40.6,-19.9167,1974,vertnet,4017,48
Haddadus binotatus,haddadus_binotatus,-45.83,-23.63,1975,vertnet,4560,48
Haddadus binotatus,haddadus_binotatus,-40.58,-19.83,1977,vertnet,3938,48
Haddadus binotatus,haddadus_binotatus,-42.98,-22.43,1977,vertnet,4408,48
Haddadus binotatus,haddadus_binotatus,-48.9333,-26.2,1978,vertnet,4949,48
Haddadus binotatus,haddadus_binotatus,-48.9742,-25.4,1978,vertnet,4870,48
Haddadus binotatus,haddadus_binotatus,-49.2164,-26.7333,1982,vertnet,5027,48
Haddadus binotatus,haddadus_binotatus,-47.13,-23.3,1984,vertnet,4478,48
Haddadus binotatus,haddadus_binotatus,-40.4975,-20.666667,1985,vertnet,4097,48
Haddadus binotatus,haddadus_binotatus,-39.3167,-15.0946,1988,vertnet,3230,48
Haddadus binotatus,haddadus_binotatus,-47.549722,-24.700278,1988,vertnet,4714,48
Haddadus binotatus,haddadus_binotatus,-40.406667,-19.9325,1989,vertnet,4018,48
Haddadus binotatus,haddadus_binotatus,-39.280278,-14.785833,1990,vertnet,3151,48
Haddadus binotatus,haddadus_binotatus,-41.868611,-20.931667,1991,vertnet,4173,48
Haddadus binotatus,haddadus_binotatus,-48.34,-24,1994,vertnet,4634,48
Haddadus binotatus,haddadus_binotatus,-40.645556,-20.805833,2001,vertnet,4096,48
Haddadus binotatus,haddadus_binotatus,-41.366667,-21.065,2002,vertnet,4174,48
Haddadus binotatus,haddadus_binotatus,-46.13,-23.850278,2002,vertnet,4638,48
Haddadus binotatus,haddadus_binotatus,-45.325205,-21.936627,2006,inat,4324,48
Haddadus binotatus,haddadus_binotatus,-45.31,-23.22,2006,vertnet,4482,48
Haddadus binotatus,haddadus_binotatus,-39.734167,-14.138056,2008,vertnet,3071,48
Haddadus binotatus,haddadus_binotatus,-48.35,-23.4,2008,vertnet,4555,48
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-47.869,-24.984,2009,gbif,4793,48
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-43.875,-20.478,2009,gbif,4090,48
Haddadus binotatus,haddadus_binotatus,-43.646568,-20.299837,2011,inat,4011,48
Haddadus binotatus,haddadus_binotatus,-46.0025,-23.249444,2011,vertnet,4480,48
Haddadus binotatus,haddadus_binotatus,-46,-23.249167,2011,vertnet,4481,48
Haddadus binotatus,haddadus_binotatus,-44.855,-22.545556,2011,vertnet,4404,48
Haddadus binotatus,haddadus_binotatus,-46.366389,-23.373333,2011,vertnet,4559,48
Haddadus binotatus,haddadus_binotatus,-48.8978601,-27.096556,2013,inat,5107,48
Haddadus binotatus,haddadus_binotatus,-42.8586297,-20.8023191,2013,inat,4092,48
Haddadus binotatus,haddadus_binotatus,-43.4111022949,-22.5632932447,2014,inat,4407,48
Haddadus binotatus,haddadus_binotatus,-43.9026905793,-22.6190735857,2014,inat,4406,48
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-47.478669,-20.6675,2014,gbif,4083,48
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-47.4935,-24.373,2014,gbif,4715,48
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-42.235,-20.60225,2014,gbif,4093,48
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-42.689167,-21.234722,2015,gbif,4171,48
Haddadus binotatus,haddadus_binotatus,-41.851972,-20.421417,2016,vertnet,4094,48
Haddadus binotatus,haddadus_binotatus,-49.0183111111,-26.8863972222,2017,inat,5106,48
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-40.871003,-18.611125,2017,gbif,3780,48
"Haddadus binotatus (Spix, 1824)",haddadus_binotatus,-44.148056,-23.141111,2017,gbif,4484,48
Haddadus binotatus,haddadus_binotatus,-48.9137033746,-26.4529134001,2018,inat,5028,48
Haddadus binotatus,haddadus_binotatus,-44.7703216667,-23.209505,2019,inat,4483,48
